sequence,color_space,umap_components,original_feature_dim,umap_applied,crop_center_ratio,crop_method,experiment_stage,positive_label,negative_label,true_positive,false_positive,true_negative,false_negative,accuracy,num_samples
F_20200220_1_0150_0180,h,800,800,False,1.0,center,ratio_sweep,1,0,49,43,56,50,0.5303030303030303,198
F_20200220_1_0330_0360,h,800,800,False,1.0,center,ratio_sweep,1,0,53,51,81,79,0.5075757575757576,264
F_20200220_1_0330_0360,rgb,864,864,False,1.0,center,ratio_sweep,1,0,53,51,81,79,0.5075757575757576,264
F_20200220_1_0360_0390,rgb,864,864,False,1.0,center,ratio_sweep,1,0,67,59,106,98,0.5242424242424243,330
F_20200220_1_0360_0390,h,800,800,False,1.0,center,ratio_sweep,1,0,67,59,106,98,0.5242424242424243,330
F_20200220_1_0390_0420,rgb,864,864,False,1.0,center,ratio_sweep,1,0,82,66,99,83,0.5484848484848485,330
F_20200220_1_0390_0420,h,800,800,False,1.0,center,ratio_sweep,1,0,82,66,99,83,0.5484848484848485,330
F_20200220_1_0420_0450,h,800,800,False,1.0,center,ratio_sweep,1,0,110,78,87,55,0.5969696969696969,330
F_20200220_1_0420_0450,rgb,864,864,False,1.0,center,ratio_sweep,1,0,110,78,87,55,0.5969696969696969,330
F_20200220_1_0450_0480,rgb,864,864,False,1.0,center,ratio_sweep,1,0,122,78,87,42,0.6352583586626139,329
F_20200220_1_0450_0480,h,800,800,False,1.0,center,ratio_sweep,1,0,122,78,87,42,0.6352583586626139,329
F_20200220_1_0480_0510,h,800,800,False,1.0,center,ratio_sweep,1,0,85,82,83,80,0.509090909090909,330
F_20200220_1_0480_0510,rgb,864,864,False,1.0,center,ratio_sweep,1,0,85,82,83,80,0.509090909090909,330
F_20200220_1_0510_0540,rgb,864,864,False,1.0,center,ratio_sweep,1,0,70,64,101,95,0.5181818181818182,330
F_20200220_1_0510_0540,h,800,800,False,1.0,center,ratio_sweep,1,0,70,64,101,95,0.5181818181818182,330
